Master NLC,Master ASC,Unique Station Name,Easting,Northing,Latitude,Longitude
6967,RECr,Rectory Road,533999.9658,186184.4082,51.558629,-0.068405789
684,REDu,Redbridge,541834.228,188365.8364,51.576322,0.045406451
5478,RDHr,Redhill,528150.9428,150584.4581,51.24005,-0.16557637
5431,RHMr,Reedham,530835.2525,160786.0415,51.331127,-0.12341546
9486,RVCt,Reeves Corner,531905.2244,165673.5151,51.374807,-0.10625547
685,RPKu,Regent's Park,528675.9353,182151.4077,51.523624,-0.14663494
686,RMDu,Richmond,518164.2018,175173.3341,51.463204,-0.30041574
687,RKYu,Rickmansworth,505736.6987,194590.0406,51.640184,-0.47340019
5432,RDDr,Riddlesdown,532481.6166,161029.5904,51.332939,-0.099698074
688,RODu,Roding Valley,541592.8561,192895.3386,51.617078,0.043757213
6886,RMFr,Romford,551377.8963,188499.9907,51.575046,0.18308907
1039,ROEr,Rotherhithe,535314.9811,179781.1905,51.500776,-0.051906127
890,ROAd,Royal Albert,542078.3481,180813.3887,51.508392,0.045878705
690,ROYu,Royal Oak,525857.7198,181568.3426,51.519019,-0.18744001
886,ROVd,Royal Victoria,540113.1703,180837.5539,51.509107,0.017592999
691,RUIu,Ruislip,509504.7101,187017.4786,51.571398,-0.42133349
692,RUGu,Ruislip Gardens,510284.7999,185836.2668,51.560632,-0.41045362
693,RUMu,Ruislip Manor,510160.8648,187253.6167,51.573401,-0.41179766
694,RSQu,Russell Square,530230.0209,182112.3471,51.522918,-0.12426256
6820,RYHr,Rye House,538481.3521,209756.1823,51.769359,0.005524401
5380,SAFr,Salfords,528487.1995,146334.806,51.201788,-0.16228711
5433,SNRr,Sanderstead,532871.9518,162759.8965,51.348395,-0.093458196
9487,SANt,Sandilands,533888.6446,165743.121,51.374964,-0.077741669
5434,SRSr,Selhurst,533079.5548,167641.3676,51.39221,-0.088647469
6893,SVKr,Seven Kings,545440.2092,187086.3611,51.563903,0.096878109
698,SVSu,Seven Sisters,533477.7788,188823.7215,51.582476,-0.074929229
860,SHAd,Shadwell DLR,535031.3921,180994.2565,51.511745,-0.055531171
1082,SDEr,Shadwell LO,534935.8063,180936.4222,51.511246,-0.056921498
6888,SNFr,Shenfield,561342.7138,195007.4339,51.630743,0.3297577
700,SBCu,Shepherd's Bush LU,523754.9371,179884.955,51.504358,-0.2183242
775,SBMu,Shepherd's Bush Market,523197.6444,180062.2038,51.50607,-0.22628358
9587,SPBr,Shepherd's Bush NR,523796.7632,179976.158,51.505167,-0.21768747
1024,SDCr,Shoreditch High Street,533641.7951,182238.9555,51.523263,-0.075063457
5084,SRTr,Shortlands,539356.3739,169332.5221,51.405909,0.00216269
5125,SIDr,Sidcup,546309.1515,172656.2125,51.434019,0.10342741
6972,SLVr,Silver Street,533927.6181,192452.4007,51.614972,-0.067054567
5154,SGRr,Slade Green,552235.76,176575.2397,51.467671,0.19031312
702,SSQu,Sloane Square,528105.0353,178647.3796,51.492264,-0.15613257
3172,SLOr,Slough,497859.3085,180178.7705,51.512073,-0.59121621
703,SNBu,Snaresbrook,540164.9121,188839.8352,51.580998,0.021526408
1452,SATr,South Acton,520187.9239,179283.646,51.499726,-0.26989671
5425,SBMr,South Bermondsey,535175.904,178350.0931,51.48795,-0.05445508
5410,SCYr,South Croydon,532842.7221,164373.9221,51.362906,-0.093272208
704,SELu,South Ealing,517562.4995,179349.0932,51.500862,-0.30768875
3138,SGNr,South Greenford,515483.5613,182909.297,51.533286,-0.3364473
1451,SOHr,South Hampstead,526399.2562,184068.979,51.541375,-0.17875021
707,SHRu,South Harrow,514311.3941,186372.3855,51.564648,-0.35222693
708,SKNu,South Kensington,526926.0832,178816.1099,51.494048,-0.17304516
709,SKTu,South Kenton,517320.3961,187078.0492,51.570376,-0.30860066
5292,SMOr,South Merton,524915.8644,168682.9983,51.403429,-0.20555728
861,SOQd,South Quay,537791.7509,179765.0885,51.500035,-0.016248974
710,SRPu,South Ruislip,511083.3841,185448.3376,51.556988,-0.39906917
7404,STOr,South Tottenham,533702.2766,188603.2583,51.580437,-0.071782315
711,SWMu,South Wimbledon,525781.8347,170011.3307,51.415173,-0.19264347
712,SWFu,South Woodford,540540.5924,190050.2661,51.591777,0.027433347
3187,STLr,Southall,512712.5425,179817.2538,51.506055,-0.37736762
6947,SBUr,Southbury,534825.1417,196136.542,51.647871,-0.052689397
705,SFSu,Southfields,524727.2345,173390.1974,51.445773,-0.20661767
706,SGTu,Southgate,529674.0712,194271.5939,51.632322,-0.1277867
784,SWKu,Southwark,531616.7038,180053.702,51.504102,-0.10504975
1548,SACr,St Albans City,515389,207051,51.75028,-0.32986331
6973,SJSr,St James Street,536442.8028,188754.8657,51.581147,-0.03218953
6821,SMTr,St Margarets (Hertfordshire),538117.8824,211816.0667,51.787959,0.001085951
5290,SIHr,St. Helier,525424.4104,167149.7268,51.38954,-0.19879923
695,SJPu,St. James's Park,529580.2705,179465.2605,51.499279,-0.13459822
5059,SAJr,St. John's,537472.9982,176312.794,51.469092,-0.02218452
696,SJWu,St. John's Wood,526730.5688,183407.1467,51.535351,-0.17420357
5604,SMGr,St. Margaret's (Greater London),516808.9393,174245.9803,51.455154,-0.32021785
5073,SMYr,St. Mary Cray,546630.7461,168289.9127,51.394705,0.10625226
1555,STPr,St. Pancras International,530024.9149,183105.2893,51.531889,-0.12684951
697,STPu,St. Paul's,532022.7483,181323.8876,51.51542,-0.098728459
713,STBu,Stamford Brook,521867.0626,178794.7163,51.494972,-0.24588893
